Title,Author,URL
A First Look at Rigorous Probability Theory,Rosenthal,https://www.cheapesttextbooks.com/subjects/A-First-Look-at-Rigorous-Probability-Theory-9789810243227.html
Essentials of Measure Theory,Kubrusly,https://www.cheapesttextbooks.com/subjects/Essentials-of-Measure-Theory-9783319225050.html
A Course in Number Theory,Rose,https://www.cheapesttextbooks.com/subjects/A-Course-in-Number-Theory-Oxford-Science-Publications-9780198523765.html
A Classical Introduction to Modern Number Theory,Ireland & Rosen,https://www.cheapesttextbooks.com/subjects/A-Classical-Introduction-to-Modern-Number-Theory-Graduate-Texts-in-Mathematics-v.-84-9780387973296.html
Quantum Information Theory and Quantum Statistics,Petz,https://www.cheapesttextbooks.com/subjects/Quantum-Information-Theory-and-Quantum-Statistics-Theoretical-and-Mathematical-Physics-9783642094095.html
Foundations of Mechanics,Abraham & Marsden,https://www.cheapesttextbooks.com/subjects/Foundations-of-Mechanics-2nd-Edition-9780805301021.html
Mathematical Methods of Classical Mechanics,Arnold,https://www.cheapesttextbooks.com/subjects/Mathematical-Methods-of-Classical-Mechanics-Graduate-Texts-in-Mathematics-Vol.-60-9780387968902.html
Real and Functional Analysis,Lang,https://www.cheapesttextbooks.com/subjects/Real-and-Functional-Analysis-Graduate-Texts-in-Mathematics-v.-142-9780387940014.html
Manifolds Tensor Analysis and Manifolds, Abraham & Marsden, https://www.cheapesttextbooks.com/subjects/Manifolds-Tensor-Analysis-and-Applications-Applied-Mathematical-Sciences-v.-75-9780387967905.html
An Introduction to Measure and Probability Theory, J.C. Taylor, https://www.cheapesttextbooks.com/subjects/An-Introduction-to-Measure-and-Probability-Textbooks-in-Mathematical-Sciences-9780387948300.html
Undergraduate Analysis, Lang, https://www.cheapesttextbooks.com/subjects/Undergraduate-Analysis-Undergraduate-Texts-in-Mathematics-9780387948416.html
Foundations of Modern Analysis, Avner Friedman, https://www.cheapesttextbooks.com/subjects/Foundations-of-Modern-Analysis-Dover-Books-on-Mathematics-9780486640624.html
Lectures on Measure & Integration, Harold Widom, https://www.cheapesttextbooks.com/subjects/Lectures-on-Measure-and-Integration-Dover-Books-on-Mathematics-9780486810287.html
Lectures on Integral Equations, Harold Widom, https://www.cheapesttextbooks.com/subjects/Lectures-on-Integral-Equations-Dover-Books-on-Mathematics-9780486810270.html
General Theory of Functions And Integration, Angus Taylor, https://www.cheapesttextbooks.com/subjects/General-Theory-of-Functions-and-Integration-Dover-Books-on-Mathematics-9780486649887.html
Real and Complex Analysis, Rudin, https://www.cheapesttextbooks.com/subjects/Real--Complex-Analysis-9780070619876.html
Functional Analysis, Rudin, https://www.cheapesttextbooks.com/subjects/Functional-Analysis-9780070619883.html
Real Analysis, Royden, https://www.cheapesttextbooks.com/subjects/Real-Analysis-4th-Edition-9780131437470.html
Real and Abstract Analysis, Hewitt, https://www.cheapesttextbooks.com/subjects/Real-and-Abstract-Analysis-Graduate-Texts-in-Mathematics-v.-25-9780387901381.html
Real Analysis: Modern Techniques and Their Applications, Folland, https://www.cheapesttextbooks.com/subjects/Real-Analysis-Modern-Techniques-and-Their-Applications-9780471317166.html
Fourier Analysis and its Applications, Folland, https://www.cheapesttextbooks.com/subjects/Fourier-Analysis-and-Its-Applications-Wadsworth--BrooksCole-Mathematics-Series-9780534170943.html